source	symbol	field	go_type	class	kizu_type	source_owner	cleanup	evidence
internal/ast/deinit_owners.go	DeinitOwners/DeclaredDeinits	program/type graph	*Program / typ.Type nodes	borrowed Program and Ast-owned node and type graphs	&compiler::internal::ast::Ast / &compiler::internal::ast::Program	calling compiler phase	none	internal/ast/deinit_owners.go:17-59; internal/types/checker.go; internal/ownership/checker.go; internal/ir/lower.go
internal/ast/deinit_owners.go	DeinitOwners/DeclaredDeinits	return	map[string]bool	owned phase lookup with copied keys	std::map::Map<[]u8, bool>	caller	Map.deinit	internal/ast/deinit_owners.go:17-59; internal/types/checker.go; internal/ownership/checker.go; internal/ir/lower.go
internal/ast/deinit_owners.go	declaredHolder	return	(string, bool)	copy declaration-name identity when the declaration holds an owner	?compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/deinit_owners.go:62-81
internal/ast/deinit_owners.go	holdsOwner	type spelling	typ.Text temporary	owned rendered bytes read for one lookup	std::string::String	function scope	String.deinit on success or error	internal/ast/deinit_owners.go:62-90; internal/typ/typ.go:246-252
internal/ast/derive_deinit.go	AddDerivedDeinits	program / retained graph	*Program plus GC-retained generated nodes	mutable declaration-handle root plus phase-owned node arenas	&var compiler::internal::ast::Program / &var compiler::internal::ast::Ast	calling compiler phase	Program.deinit for handle list; Ast.deinit for generated graph	internal/ast/derive_deinit.go:9-35; internal/project/load.go:349-358
internal/ast/derive_deinit.go	AddDerivedDeinits	declared	map[string]bool temporary	owned deinit-name lookup with copied keys	std::map::Map<[]u8, bool>	function scope	Map.deinit on success or error	internal/ast/derive_deinit.go:15-23
internal/ast/derive_deinit.go	AddDerivedDeinits	derived	[]Decl temporary	owned temporary list of copy declaration handles	std::array::Array<compiler::internal::ast::Declaration>	function scope	Array.deinit after handles are appended to Program	internal/ast/derive_deinit.go:24-34
internal/ast/derive_deinit.go	DeriveDeinit	return	*FunctionDecl nullable	owned temporary declaration payload whose child nodes are retained handles	!?compiler::internal::ast::FunctionDecl	caller, then compiler::internal::ast::Ast declaration arena	move into DeclarationNode::Function; FunctionDecl.deinit on an unretained path	internal/ast/derive_deinit.go:38-69; internal/ast/ast.go:87-123
internal/ast/derive_deinit.go	DeriveDeinit	generated nodes and text	GC-retained pointer graph and strings	phase-owned nodes plus copy text / node handles	compiler::internal::ast::Text / compiler::internal::ast::Expression / compiler::internal::ast::Statement / compiler::internal::ast::Block	compiler::internal::ast::Ast	Ast.deinit; one retained Text and ExpressionList handle is reused per generated logical spelling	internal/ast/derive_deinit.go:72-181; internal/ast/ast.go
internal/ast/derive_deinit.go	deriveDecl	generated types	typ.Type pointer graphs	copy handles into the Ast-owned parsed type graph	compiler::internal::typ::Type	compiler::internal::ast::Ast.types	Ast.deinit; temporary receiver spelling is released after Map copies its key	internal/ast/derive_deinit.go:125-160; internal/typ/table.go; docs/std/map.md
internal/ast/derive_deinit.go	deriveStructDeinit/deriveUnionDeinit	type spelling	typ.Text temporary	owned rendered bytes read while classifying one field or payload	std::string::String	function scope	String.deinit on success or error	internal/ast/derive_deinit.go:72-123; internal/typ/typ.go:246-252
internal/ast/ast.go	BlockStmt	Statements	[]Statement	owned child handle list	std::array::Array<compiler::internal::ast::Statement>	compiler::internal::ast::Ast	Ast.deinit cascade	internal/ast/ast.go:451-466
internal/ast/ast.go	LetStmt	Name/Value	string / Expression	copy text and child handles	compiler::internal::ast::Text / compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:468-485
internal/ast/ast.go	AssignStmt	Target/Value	Expression	child node handles	compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:487-499
internal/ast/ast.go	ReturnStmt	Value	Expression nullable	optional child node handle	?compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:501-515
internal/ast/ast.go	DeferStmt/ErrDeferStmt	Expr	Expression	child node handle	compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:517-542
internal/ast/ast.go	IfStmt	Condition	Expression	child node handle	compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:544-567
internal/ast/ast.go	IfStmt	Consequence/Alternative	*BlockStmt	block handles; alternative nullable	compiler::internal::ast::Block / ?compiler::internal::ast::Block	compiler::internal::ast::Ast	none	internal/ast/ast.go:544-567
internal/ast/ast.go	IfStmt	Capture	string	copy text handle	compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:544-567
internal/ast/ast.go	WhileStmt	Label/Capture	string	copy text handles	compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:569-589
internal/ast/ast.go	WhileStmt	Condition/Body	Expression / *BlockStmt	child node handles	compiler::internal::ast::Expression / compiler::internal::ast::Block	compiler::internal::ast::Ast	none	internal/ast/ast.go:569-589
internal/ast/ast.go	ForStmt	Label/Name	string	copy text handles	compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:591-611
internal/ast/ast.go	ForStmt	Start/End/Body	Expression / *BlockStmt	child node handles	compiler::internal::ast::Expression / compiler::internal::ast::Block	compiler::internal::ast::Ast	none	internal/ast/ast.go:591-611
internal/ast/ast.go	BreakStmt/ContinueStmt	Label	string	copy text handle	compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:613-645
internal/ast/ast.go	MatchStmt	Value/Arms	Expression / []MatchArm	child handle and owned arm list	compiler::internal::ast::Expression / std::array::Array<compiler::internal::ast::MatchArm>	compiler::internal::ast::Ast / containing node	arena element cleanup for arm buffer	internal/ast/ast.go:651-672
internal/ast/ast.go	MatchStmt	MetaCapture/MetaOwner	string	copy expansion text handles	compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:651-672; internal/ast/variants.go
internal/ast/ast.go	MatchArm	Tag/Binding/Body	string / Statement	copy text and child handles	compiler::internal::ast::Text / compiler::internal::ast::Statement	compiler::internal::ast::Ast	none	internal/ast/ast.go:674-696
internal/ast/ast.go	ComptimeIfStmt	Condition/Consequence/Alternative	Expression / *BlockStmt	child node handles	compiler::internal::ast::Expression / compiler::internal::ast::Block / ?compiler::internal::ast::Block	compiler::internal::ast::Ast	none	internal/ast/ast.go:698-716
internal/ast/ast.go	ComptimeForStmt	List/Name/Body	Expression / string / *BlockStmt	copy child and text handles	compiler::internal::ast::Expression / compiler::internal::ast::Text / compiler::internal::ast::Block	compiler::internal::ast::Ast	none	internal/ast/ast.go:718-733
internal/ast/ast.go	ComptimeMatchStmt	Value/Name/Binding/Body	Expression / string / *BlockStmt	copy child and text handles	compiler::internal::ast::Expression / compiler::internal::ast::Text / compiler::internal::ast::Block	compiler::internal::ast::Ast	none	internal/ast/ast.go:735-753
internal/ast/ast.go	ExprStmt	Expr	Expression	child node handle	compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:755-767
internal/ast/ast.go	IdentExpr/IntExpr/StringExpr/TypeExpr	Name/Value/TypeName	string	copy text handle	compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:769-807; internal/ast/ast.go:854-865
internal/ast/ast.go	OrelseGuardExpr	Cond/Exit	Expression / Statement	child node handles	compiler::internal::ast::Expression / compiler::internal::ast::Statement	compiler::internal::ast::Ast	none	internal/ast/ast.go:822-836
internal/ast/ast.go	ComptimeExpr	Expr	Expression	child node handle	compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:867-878
internal/ast/ast.go	PrefixExpr	Operator/Right	string / Expression	copy text and child handles	compiler::internal::ast::Text / compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:880-892
internal/ast/ast.go	BinaryExpr	Left/Operator/Right	Expression / string	copy child and text handles	compiler::internal::ast::Expression / compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:894-908
internal/ast/ast.go	CallExpr	Callee/Args	Expression / []Expression	copy child and immutable argument-list handles	compiler::internal::ast::Expression / compiler::internal::ast::ExpressionList	compiler::internal::ast::Ast	none	internal/ast/ast.go:910-926
internal/ast/ast.go	TypeApplyExpr	Callee/TypeArg	Expression / string	copy child and text handles	compiler::internal::ast::Expression / compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:928-940
internal/ast/ast.go	CastExpr	TargetType/Value	typ.Type / Expression	copy handles	compiler::internal::typ::Type / compiler::internal::ast::Expression	compiler::internal::ast::Ast.types / compiler::internal::ast::Ast	none	internal/ast/ast.go:942-955
internal/ast/ast.go	TryExpr/MoveExpr	Value	Expression	child node handle	compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:957-1007
internal/ast/ast.go	UnsafeExpr	Value/Safety	Expression / string	copy child and text handles	compiler::internal::ast::Expression / compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:1009-1027
internal/ast/ast.go	IndexExpr	Target/Index/Start/End	Expression nullable by form	child node handles	compiler::internal::ast::Expression / ?compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:1029-1057
internal/ast/ast.go	StructLiteralExpr	TypeName/Fields	string / []FieldValue	copy text handle and owned field list	compiler::internal::ast::Text / std::array::Array<compiler::internal::ast::FieldValue>	compiler::internal::ast::Ast / containing node	arena element cleanup for field buffer	internal/ast/ast.go:1059-1098
internal/ast/ast.go	FieldValue	Name/Value	string / Expression	copy text and child handles	compiler::internal::ast::Text / compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:1100-1109
internal/ast/ast.go	FieldExpr	Receiver/Name	Expression / string	copy child and text handles	compiler::internal::ast::Expression / compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:1111-1151
internal/ast/ast.go	FieldPathRoot	expression graph / root / dotted path / return	ast.Expression / *ast.IdentExpr / string / bool	expression and root graph stay Ast-owned; the Kizu result copies the root Text handle and Span while returning one newly owned dotted-path String; namespace, non-field, and non-identifier-root shapes return null	Allocator / &compiler::internal::ast::Ast / compiler::internal::ast::Expression / !?compiler::internal::ast::FieldPath	compiler::internal::ast::Ast for expressions and root Text / caller for returned FieldPath.path	partial accumulator uses errdefer on allocation failure; syntax-shape null explicitly deinitializes the accumulator; caller deinitializes a returned FieldPath; Ast.deinit releases expressions and text	internal/ast/ast.go:1130-1151; compiler/src/internal/ast/ast.kizu; compiler/src/internal/ast/ast_test.kizu
internal/ast/ast.go	DerefExpr	Receiver	Expression	child node handle	compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:1153-1164
internal/parser/parser.go	expressionSpan	expression graph	ast.Expression interface over node pointer	copy handle plus explicit borrowed graph owner	compiler::internal::ast::Expression / &compiler::internal::ast::Ast	compiler::internal::ast::Ast	none	internal/parser/parser.go:1774-1794; internal/ast/ast.go:46-49
internal/parser/parser.go	expressionSpan	return	ast.Span	copy source identity and positions	compiler::internal::ast::Span	compiler source map	none	internal/parser/parser.go:1774-1794; internal/ast/ast.go:23-28
internal/parser/parser.go	joinSpans	arguments / return	ast.Span	copy source identity and positions	compiler::internal::ast::Span	compiler source map	none	internal/parser/parser.go:1796-1805; internal/ast/ast.go:23-28
internal/parser/diagnostic.go	diagnosticAtToken	token / message	token.Token / string	borrowed owned token and borrowed message copied into result	&compiler::internal::token::Token / []u8	caller token / caller message	none for inputs	internal/parser/diagnostic.go:15-26; internal/token/token.go
internal/parser/diagnostic.go	diagnosticAtToken	return	Diagnostic	owned structured diagnostic	!compiler::internal::diagnostic::Diagnostic	caller	Diagnostic.deinit	internal/parser/diagnostic.go:15-26; internal/diagnostic/diagnostic.go
internal/parser/parser.go	tokenSpan	token / return	token.Token / ast.Span	borrowed owned token and copy source range	&compiler::internal::token::Token / compiler::internal::ast::Span	caller token / compiler source map	none	internal/parser/parser.go:1761-1772; internal/token/token.go
internal/parser/diagnostic.go; internal/parser/parser.go	tokenWidth	literal bytes	string	borrowed normalized UTF-8 view	[]u8	compiler::internal::token::Token	none	internal/lexer/lexer.go:68-76,310-363; internal/parser/diagnostic.go:15-26; internal/parser/parser.go:1761-1772
internal/parser/parser.go	Parser	l	*lexer.Lexer	effectively transferred lexer owner	compiler::internal::lexer::Lexer	compiler::internal::parser::Parser	Parser.deinit	internal/parser/parser.go:15-31; all callers pass a fresh lexer
internal/parser/parser.go	Parser	cur/peek	token.Token	owned token values retained while parsing	std::arena::Handle<compiler::internal::token::Token> selected through cursor	compiler::internal::parser::Parser token arena	Parser.deinit arena cascade	internal/parser/parser.go:15-31,1920-1924; internal/parser/parser.go:2025-2053
internal/parser/parser.go	Parser	token cache	cur/peek plus a temporary lexer snapshot during speculative lookahead	Kizu retains every scanned token until Parser.deinit so a copy cursor can rewind without copying the owner Lexer	std::arena::Arena<compiler::internal::token::Token> / std::array::Array<std::arena::Handle<compiler::internal::token::Token>>	compiler::internal::parser::Parser	Parser.deinit	internal/parser/parser.go:2025-2053; SPEC borrow fields and owner overwrite rules
internal/parser/parser.go	Parser	errors	[]Diagnostic	owned list of owned diagnostics	std::array::Array<compiler::internal::diagnostic::Diagnostic>	compiler::internal::parser::Parser	Parser.deinit cascade	internal/parser/parser.go:15-46,1961-1965
internal/parser/parser.go	Parser	safety	string	Go keeps the current statement justification as GC-owned bytes; Kizu stores only a copy handle after moving normalized bytes into Ast once for that statement	?compiler::internal::ast::Text	compiler::internal::ast::Ast for retained bytes / compiler::internal::parser::Parser for the scoped handle	parseStatement holds the fallible parse result, restores the enclosing handle on both success and error, then returns it; the handle needs no cleanup and Ast.deinit releases retained bytes	internal/parser/parser.go:20-23,688-699; compiler/src/internal/parser/parser.kizu; compiler/src/internal/parser/parser_test.kizu
internal/parser/parser.go	Parser	allocator	implicit Go allocation capability	copy explicit allocator capability	Allocator	caller capability	none	internal/parser/parser.go:26-31; docs/principles.md explicit allocation
internal/parser/parser.go	New	lexer / return	*lexer.Lexer / *Parser	transferred lexer and owned parser state	compiler::internal::lexer::Lexer / !compiler::internal::parser::Parser	returned Parser	Parser.deinit	internal/parser/parser.go:26-31; cmd/kizu/load.go:177
internal/parser/parser.go	Errors	return	[]string	owned rendered error list	!std::array::Array<std::string::String>	caller	Array.deinit cascade	internal/parser/parser.go:33-40; internal/diagnostic/diagnostic.go:73-110; compiler/src/internal/parser/parser.kizu; compiler/src/internal/parser/parser_test.kizu
internal/parser/parser.go	Diagnostics	return	[]Diagnostic	indexed borrow of parser-owned diagnostics because projected field borrow returns are forbidden	diagnostics_len() / diagnostic(index) -> ?&compiler::internal::diagnostic::Diagnostic	compiler::internal::parser::Parser	none	internal/parser/parser.go:42-46; SPEC borrow field return rules
internal/parser/parser.go	shouldParseTypeApply	expression graph	ast.Expression interface over node pointer	copy expression handle plus explicit borrowed graph owner	compiler::internal::ast::Expression / &compiler::internal::ast::Ast	compiler::internal::ast::Ast	none	internal/parser/parser.go:2016-2022; compiler/src/internal/ast/ast.kizu expression arena
internal/parser/parser.go	typeApplyLooksLikeCall	speculative token state	cur / peek / copied lexer.Lexer	copy cursor over parser-owned cached tokens	position i64 / Parser token cache	compiler::internal::parser::Parser	position restore	internal/parser/parser.go:2024-2051; SPEC owner values are not copyable
internal/parser/parser.go	typeApplyLooksLikeCall	speculative diagnostics	len(errors) rollback boundary	copy length plus owned diagnostics appended after that boundary	i64 boundary / std::array::Array<compiler::internal::diagnostic::Diagnostic>	compiler::internal::parser::Parser	pop and Diagnostic.deinit on rollback	internal/parser/parser.go:2025-2035; std::array owner element cleanup
internal/parser/parser.go	typeApplyLooksLikeCall	return	bool	copy lookahead decision; Kizu lexer allocation failure is terminal for the parse because scanner advancement is not failure-atomic	!bool	caller	none on success; Parser.deinit after propagated failure	internal/parser/parser.go:2037-2050; compiler/src/internal/lexer/lexer.kizu scan-before-token-allocation order
internal/parser/parser.go	canTypeApplyTarget	expression graph	ast.Expression interface over node pointer	copy expression and text handles plus explicit borrowed graph owner	compiler::internal::ast::Expression / &compiler::internal::ast::Ast	compiler::internal::ast::Ast	none	internal/parser/parser.go:2053-2065; compiler/src/internal/ast/ast.kizu expression and text arenas
internal/parser/parser.go	precedences	-	map[token.Type]int	immutable copy lookup table	pure precedence(token::Kind) -> i64	static program data	none	internal/parser/parser.go:1184-1217; docs/selfhost-porting.md immutable map mapping
internal/parser/parser.go	curPrecedence / peekPrecedence	cur / peek and return	token.Type / int	borrowed parser-owned tokens with copy kind and precedence result	&compiler::internal::parser::Parser / i64	compiler::internal::parser::Parser token arena	none	internal/parser/parser.go:1944-1958; compiler/src/internal/parser/parser.kizu token cache
internal/parser/parser.go	peekIsExpressionEnd	peek and return	token.Type / bool	borrowed parser-owned token with copy bool result	&compiler::internal::parser::Parser / bool	compiler::internal::parser::Parser token arena	none	internal/parser/parser.go:1737-1747
internal/parser/parser.go	tokenDescription	token / output	token.Token / string	borrowed token appended into caller-owned message	&compiler::internal::token::Token / &var std::string::String	caller token / caller message	none for input; caller deinitializes message	internal/parser/parser.go:1975-1993; docs/std/fmt.md deterministic byte literal
internal/parser/parser.go	tokenTypeDescription	kind / output	token.Type / string	copy kind appended into caller-owned message	compiler::internal::token::Kind / &var std::string::String	caller message	caller deinitializes message	internal/parser/parser.go:1995-2010
internal/parser/parser.go	errorf	formatted message / errors	string / []Diagnostic	owned temporary message copied into an owned diagnostic collection	std::string::String / std::array::Array<compiler::internal::diagnostic::Diagnostic>	compiler::internal::parser::Parser	temporary message at record_error exit; Parser.deinit for copied diagnostic	internal/parser/parser.go:1960-1965; compiler/src/internal/diagnostic/diagnostic.kizu
internal/parser/parser.go	expectCur / expectPeek	expected kind / return	token.Type / bool	copy kind and fallible copy decision; mismatch retains one owned diagnostic	compiler::internal::token::Kind / !bool	compiler::internal::parser::Parser	Parser.deinit for mismatch diagnostic	internal/parser/parser.go:1925-1942; explicit Kizu formatting and lexer allocation failures
internal/parser/parser.go	expectTypeClose	current / peek and return	token.Type / bool	borrowed parser-owned tokens with copy decision; success may advance; advance failure is terminal	&var compiler::internal::parser::Parser / !bool	compiler::internal::parser::Parser token arena	Parser.deinit after propagated advance failure; Parser.deinit for mismatch diagnostic	internal/parser/parser.go:1667-1677; Kizu advance remains fallible
internal/parser/parser.go	expectStatementTerminator	current / peek / context and return	token.Token / string / bool	borrowed parser tokens and context; success may advance; mismatch retains copied context diagnostic	&var compiler::internal::parser::Parser / []u8 / !bool	compiler::internal::parser::Parser token arena	Parser.deinit after propagated advance failure or for mismatch diagnostic	internal/parser/parser.go:1091-1104
internal/parser/parser.go	consumeListDelimiter	peek / context and return	token.Token / string / bool	borrowed parser token and context; comma success may advance; mismatch retains copied context diagnostic	&var compiler::internal::parser::Parser / []u8 / !bool	compiler::internal::parser::Parser token arena	Parser.deinit after propagated advance failure or for mismatch diagnostic	internal/parser/parser.go:1106-1119
internal/parser/parser.go	parseOptionalBranchLabel	tokens / return	token.Token / string	literal view stays inside retain helper and is copied from parser token arena into AST text; absent or invalid label retains empty text	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / !compiler::internal::ast::Text	compiler::internal::parser::Parser token arena during copy / compiler::internal::ast::Ast after copy	Ast.deinit for retained text; Parser.deinit after propagated advance failure or for mismatch diagnostic	internal/parser/parser.go:1078-1089; compiler/src/internal/parser/parser.kizu retain_literal copy boundary
internal/parser/parser.go	parseBreakStmt / parseContinueStmt	tokens / return	token.Token / ast.Statement	optional label copied into AST and statement node retained by AST	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / !compiler::internal::ast::Statement	compiler::internal::ast::Ast	Ast.deinit for node and label; Parser.deinit after propagated parse failure or for mismatch diagnostic	internal/parser/parser.go:1064-1076
internal/parser/parser.go	parseBlockStmt	statement list / return	[]ast.Statement / *ast.BlockStmt	Go leaves the slice and statement graph to GC; Kizu builds one local Array of copy statement handles and moves its buffer into the Ast-retained block	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / !compiler::internal::ast::Block	compiler::internal::ast::Ast after the final move / callee for the temporary Array before it	Array errdefer releases only its buffer on allocation or nested parse failure; add_block consumes success and Ast.deinit releases the block Array and every referenced node	internal/parser/parser.go:676-686; compiler/src/internal/parser/parser.kizu; compiler/src/internal/parser/parser_test.kizu
internal/parser/parser.go	parseStatement / parseStatementForm	current safety comment / expression and statement graph / return	[]string / string / ast.Expression / ast.Statement	comment token lines stay Parser-owned while normalization creates one statement-scoped Ast Text; expression and statement values are copy handles into the Ast arenas	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / !compiler::internal::ast::Statement	compiler::internal::parser::Parser for token lines / compiler::internal::ast::Ast for retained safety bytes and all nodes / compiler::internal::ast::Ast.types for parsed type graphs	the normalized String moves directly into Ast; nested parsing replaces then restores only a copy Text handle; Ast and Parser deinit their own arenas after success or propagated failure	internal/parser/parser.go:688-715; compiler/src/internal/parser/parser.kizu; compiler/src/internal/parser/parser_test.kizu
internal/parser/parser.go	parseMatchStmt / parseMatchArms / parseMatchArm	arm list / tag and binding text / body graph	[]ast.MatchArm / string / ast.Statement	one local Array owns MatchArm values containing copy Text and Statement handles; successful and syntax-recovery returns move that Array into the MatchStmt before Ast retention	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / !compiler::internal::ast::MatchStmt	compiler::internal::ast::Ast for text, body nodes, and the final arm Array / callee for the Array before move	Array errdefer releases its buffer on allocation failure; invalid arms return the partial owner for one later move; tag or binding text retained before syntax rejection remains Ast-owned; Ast.deinit releases all retained storage	internal/parser/parser.go:1120-1184; compiler/src/internal/parser/parser.kizu; compiler/src/internal/parser/parser_test.kizu
internal/parser/parser.go	parseExpression and recursive operators	expression graph / parsed type graphs / return	ast.Expression interface over GC node pointers / typ.Type	Kizu returns copy Expression handles while every constructed node is retained immediately by Ast; cast and type-bearing leaves use copy Type handles retained by Ast.types	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / i64 / !compiler::internal::ast::Expression	compiler::internal::ast::Ast for expression and statement nodes / compiler::internal::ast::Ast.types for parsed type graphs / compiler::internal::parser::Parser for tokens and diagnostics	there is no node owner local to recursive calls; a later parse or allocation failure leaves already-retained nodes in Ast and types in Ast.types, reclaimed by Ast.deinit; temporary diagnostic Strings use errdefer before record_error consumes them	internal/parser/parser.go:1223-1450,1715-1760; compiler/src/internal/parser/parser.kizu; compiler/src/internal/parser/parser_test.kizu
internal/parser/parser.go	parseCallExpr	callee and argument graph / argument list / return	ast.Expression / []ast.Expression	callee and arguments are copy handles; Kizu owns the temporary argument Array until add_call_expr moves its buffer into the Ast-retained CallExpr	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / compiler::internal::ast::Expression / !compiler::internal::ast::Expression	compiler::internal::ast::Ast after the final move / callee for the temporary Array before it	Array errdefer releases its buffer on allocation or recursive parse failure; add_call_expr consumes success and Ast.deinit releases the list and referenced expression nodes	internal/parser/parser.go:1809-1827; compiler/src/internal/parser/parser.kizu; compiler/src/internal/parser/parser_test.kizu
internal/parser/parser.go	parseStructLiteralExpr / parseFieldValue	type name / field list / field values	string / []ast.FieldValue / ast.Expression	type and field names copy from Parser tokens into Ast Text; one local FieldValue Array contains copy Text and Expression handles and moves into the Ast-retained StructLiteralExpr on complete or partial syntax return	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / compiler::internal::ast::Text / !compiler::internal::ast::Expression	compiler::internal::ast::Ast for text, field value expressions, and the final field Array / callee for the Array before move	Array errdefer releases its buffer on allocation or recursive parse failure; syntax recovery moves the partial Array exactly once; text retained before a later field rejection remains Ast-owned; Ast.deinit releases all retained storage	internal/parser/parser.go:1841-1857,1891-1904; compiler/src/internal/parser/parser.kizu; compiler/src/internal/parser/parser_test.kizu
internal/parser/parser.go	parseKeywordLiteralExpression	current token / return	token.Token / ast.Expression	copy bool or source span retained in AST node	&compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / compiler::internal::ast::Expression	compiler::internal::ast::Ast	Ast.deinit	internal/parser/parser.go:919-930; compiler/src/internal/parser/parser.kizu token_span
internal/parser/parser.go	parsePayloadCapture	tokens / return	token.Token / (string, bool)	capture literal copied into AST text after closing pipe; valid absence retains empty text; malformed capture returns null	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / !?compiler::internal::ast::Text	compiler::internal::parser::Parser token arena during copy / compiler::internal::ast::Ast after copy	Ast.deinit for retained text; Parser.deinit after propagated advance failure or for mismatch diagnostic	internal/parser/parser.go:932-947; optional Text replaces Go success boolean
internal/parser/parser.go	parseTypeName and prefix type helpers	tokens / return	token.Token / typ.Type nullable	partial nodes accumulate in one explicit Builder; success transfers the graph into the caller phase table	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / !?compiler::internal::typ::Type	compiler::internal::typ::Builder before success / compiler::internal::ast::Ast.types after success	Builder.deinit for syntax or allocation failure; Ast.deinit after finish; Parser.deinit for diagnostics	internal/parser/parser.go:1451-1565; compiler/src/internal/typ/typ.kizu Builder
internal/parser/parser.go	parseNamedTypeName / parseTypeBaseName / parseTypeArgNodes	tokens / partial type graph	token.Token / typ.Type	borrowed token literals copied into owned path strings; argument and path owners move into Builder nodes; malformed namespace may retain the valid prefix and a diagnostic	&var compiler::internal::parser::Parser / &var compiler::internal::typ::Builder / !?std::arena::Handle<compiler::internal::typ::Node>	compiler::internal::typ::Builder	Builder.deinit for partial nodes; local path and argument arrays deinit before a normal syntax-null return	internal/parser/parser.go:1480-1525,1585-1596
internal/parser/parser.go	parseBufferTypeName	tokens / return	token.Token / typ.Buffer	integer literal is validated as positive i64 and copied into a Builder node	&var compiler::internal::parser::Parser / &var compiler::internal::typ::Builder / !?std::arena::Handle<compiler::internal::typ::Node>	compiler::internal::typ::Builder	Builder.deinit on parse failure or Ast.deinit after finish; Parser.deinit for diagnostics	internal/parser/parser.go:1567-1583
internal/parser/parser.go	parseTypeArg	tokens / return	token.Token / typ.Type nullable	borrowed token literals become Builder nodes; const wraps the child node only when caller allows it	&var compiler::internal::parser::Parser / &var compiler::internal::typ::Builder / bool / !?std::arena::Handle<compiler::internal::typ::Node>	compiler::internal::typ::Builder	Builder.deinit on parse failure or Ast.deinit after finish; Parser.deinit for diagnostics	internal/parser/parser.go:1694-1710
internal/parser/parser.go	parseStaticTypeArg	tokens / partial graph / return	token.Token / typ.Type / string	borrowed token literals are copied into an owned String; a partial type graph stays in Builder until success transfers it to the caller Ast type table and renders the returned owner	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / compiler::internal::typ::Builder / bool / !?std::string::String	compiler::internal::typ::Builder before finish / compiler::internal::ast::Ast.types after finish / caller for returned String	Builder.deinit for syntax-null or allocation failure before finish; Ast.deinit after finish; caller deinitializes returned String; Parser.deinit for diagnostics	internal/parser/parser.go:1678-1692; compiler/src/internal/typ/typ.kizu Builder and render
internal/parser/parser.go	parseTypeArgList	argument strings / parsed graphs / return	[]string / []typ.Type / string	each owned argument is appended into one owned canonical String then deinitialized; finished type graphs stay in the caller Ast type table even when a later argument returns syntax-null or allocation failure	&var compiler::internal::parser::Parser / &var compiler::internal::ast::Ast / bool / !?std::string::String	caller for returned String / compiler::internal::ast::Ast.types for every finished type graph	callee deinitializes each argument String after append; caller deinitializes returned String; Ast.deinit releases finished graphs after success or later failure; Parser.deinit for diagnostics	internal/parser/parser.go:1598-1617; docs/principles.md explicit cleanup
